[14/06/2022 21:38:42 - INFO] Discord Presence activated
[14/06/2022 21:38:42 - INFO] Creating discord-rpc client
[14/06/2022 21:38:43 - INFO] Successfully connected to Discord
[14/06/2022 21:38:43 - DEBUG] Loading git extension
[14/06/2022 21:38:43 - TRACE] VSCode language id: html
[14/06/2022 21:46:24 - TRACE] VSCode language id: html
[14/06/2022 21:46:26 - TRACE] VSCode language id: html
[14/06/2022 21:46:28 - TRACE] VSCode language id: html
[14/06/2022 21:46:30 - TRACE] VSCode language id: html
[14/06/2022 21:46:32 - TRACE] VSCode language id: html
[14/06/2022 21:46:34 - TRACE] VSCode language id: html
[14/06/2022 21:46:36 - TRACE] VSCode language id: html
[14/06/2022 21:46:38 - TRACE] VSCode language id: html
[14/06/2022 21:46:40 - TRACE] VSCode language id: html
[14/06/2022 21:46:42 - TRACE] VSCode language id: html
[14/06/2022 21:46:47 - TRACE] VSCode language id: html
[14/06/2022 21:46:53 - TRACE] VSCode language id: html
[14/06/2022 21:46:55 - TRACE] VSCode language id: html
[14/06/2022 21:46:58 - TRACE] VSCode language id: html
[14/06/2022 21:47:05 - TRACE] VSCode language id: html
[14/06/2022 21:47:07 - TRACE] VSCode language id: html
[14/06/2022 21:47:10 - TRACE] VSCode language id: html
[14/06/2022 21:47:14 - TRACE] VSCode language id: html
[14/06/2022 21:47:16 - TRACE] VSCode language id: html
[14/06/2022 21:47:19 - TRACE] VSCode language id: html
[14/06/2022 21:47:19 - TRACE] VSCode language id: html
[14/06/2022 21:47:21 - TRACE] VSCode language id: html
[14/06/2022 21:47:34 - TRACE] VSCode language id: html
[14/06/2022 21:47:36 - TRACE] VSCode language id: html
[14/06/2022 21:47:39 - TRACE] VSCode language id: html
[14/06/2022 21:47:41 - TRACE] VSCode language id: html
[14/06/2022 21:47:43 - TRACE] VSCode language id: html
[14/06/2022 21:47:46 - TRACE] VSCode language id: html
[14/06/2022 21:47:55 - TRACE] VSCode language id: html
[14/06/2022 21:47:57 - TRACE] VSCode language id: html
[14/06/2022 21:48:00 - TRACE] VSCode language id: html
[14/06/2022 21:48:02 - TRACE] VSCode language id: html
[14/06/2022 21:48:04 - TRACE] VSCode language id: html
[14/06/2022 21:48:07 - TRACE] VSCode language id: html
[14/06/2022 21:48:09 - TRACE] VSCode language id: html
[14/06/2022 22:06:55 - TRACE] VSCode language id: css
[14/06/2022 22:07:05 - TRACE] VSCode language id: css
[14/06/2022 22:07:07 - TRACE] VSCode language id: css
[14/06/2022 22:07:09 - TRACE] VSCode language id: css
[14/06/2022 22:07:11 - TRACE] VSCode language id: css
[14/06/2022 22:07:13 - TRACE] VSCode language id: css
